xh,yxsh,zym,xkmlm,pyfsm,xslbm,sznj,pyccm,ldfsm,xsdqztm,xsccm,szbh,rxny,sfyxj,sfygjxj,xqh,xz
201489089,000308,7003,,,007,2014,,,07,,软件1417,,0,0,02,01
201539270,000310,6403,08,,006,2015,,,07,,双外英1501,,0,0,01,03
201559179,000356,9111,08,,006,2015,,,07,,双管信1502,,0,0,01,03
201539379,000310,6403,08,,006,2015,,,07,,双外英1504,,0,0,01,03
201529174,000356,9111,08,,006,2015,,,07,,双管信1501,,0,0,01,03
201549275,000310,6403,08,,006,2015,,,07,,双外英1502,,0,0,01,03
201459477,000310,6403,,,006,2014,,,07,,外英双1402,,0,0,01,03
201479277,000356,9111,,,006,2014,,,07,,管信双1401,,0,0,01,03
201429960,000357,6301,,,005,2012,,,07,,人文广1201,201503,0,0,01,01
201419473,000310,6403,,,006,2014,,,07,,外英双1401,,0,0,01,03
201409579,000310,6403,,,006,2014,,,07,,外英双1403,,0,0,01,03
201566010,000305,5610,08,,001,2015,,,01,,机制1507,201509,1,1,01,01
201524078,000305,5610,08,,001,2015,,,01,,机制1505,201509,1,1,01,01
201514097,000301,5029,08,,001,2015,,,01,,化高1501,201509,1,1,01,01
201515016,000352,6110,08,,001,2015,,,01,,土木1502,201509,1,1,01,01
201575014,000352,6110,08,,001,2015,,,01,,土木1503,201509,1,1,01,01
201555027,000352,6101,08,,001,2015,,,01,,土水1501,201509,1,1,01,01
201515126,000352,6107,08,,001,2015,,,01,,土港1502,201509,1,1,01,01
201525031,000352,6112,12,,001,2015,,,01,,土管1501,201509,1,1,01,01
201555049,000352,6131,08,,001,2015,,,03,,土交1501,201509,0,0,01,01
201505064,000352,6115,08,,001,2015,,,01,,国际土1501,201509,1,1,01,01
201525178,000307,6201,08,,001,2015,,,01,,建1502,201509,1,1,01,02
201505187,000307,6210,08,,001,2015,,,01,,建视1501,201509,1,1,01,01
201505099,000301,5028,08,,001,2015,,,01,,化药1501,201509,1,1,01,01
201418124,000353,7806,,,001,2014,,,07,,电自1402,201409,0,0,01,01
201448035,000353,7809,,,001,2014,,,07,,电通1402,201409,0,0,01,01
201418133,000353,7809,,,001,2014,,,07,,电通1401,201409,0,0,01,01
201428042,000353,7805,,,001,2014,,,07,,电集1402,201409,0,0,01,01
201408057,000353,7807,,,001,2014,,,01,,电计1401,201409,0,1,01,01
201468059,000353,7807,,,001,2014,,,07,,电计1401,201409,0,0,01,01
201416074,000305,5610,,,001,2014,,,07,,机制1408,201409,0,0,01,01
201457013,000351,7901,,,001,2014,,,07,,运船1403,201409,0,0,01,01
201407025,000351,7902,,,001,2014,,,01,,运力1402,201409,1,1,01,01
201467023,000351,7902,,,001,2014,,,07,,运力1402,201409,0,0,01,01
201408075,000353,7803,,,001,2014,,,01,,电计日1402,201409,1,1,01,02
201417048,000351,7905,,,001,2014,,,07,,运航1401,201409,0,0,01,01
201437059,000351,7909,,,001,2014,,,01,,运创1401,201409,1,1,01,01
201458014,000353,7891,,,001,2014,,,07,,电气1401,201409,0,0,01,01
201418021,000353,7806,,,001,2014,,,07,,电自1403,201409,0,0,01,01
201498021,000353,7806,,,001,2014,,,07,,电自1403,201409,0,0,01,01
201820082,000310,6405,,,001,2018,,,01,,外英类1802,201809,1,1,01,01
201748027,000353,7806,,,001,2017,,,01,,电自1702,201709,1,1,01,01
201779049,000300,70104,,,001,2017,,,01,,国际软1704,201709,1,1,02,01
201821014,000311,5290,,,001,2018,,,01,,数1805,201809,1,1,01,01
201516118,000305,5610,08,,001,2015,,,01,,机制1506,201509,1,1,01,01
201728036,000353,7808,,,001,2017,,,01,,电信1703,201709,1,1,01,01
201769143,000300,70104,,,001,2017,,,01,,国际软1706,201709,1,1,02,01
201821111,000311,5290,,,001,2018,,,01,,数1804,201809,1,1,01,01
201756031,000305,5625,,,001,2017,,,01,,机日1701,201709,1,1,01,02
201708139,000353,7808,,,001,2017,,,01,,电信1705,201709,1,1,01,01
201812001,000360,9301,,,001,2018,,,01,,光电类1802,201809,1,1,01,01
201756039,000305,5625,,,001,2017,,,07,,机日1701,201709,0,0,01,02
201756044,000317,5890,,,001,2017,,,01,,动1705,201709,1,1,01,01
201719054,000329,8101,,,001,2017,,,01,,微集1701,201709,1,1,02,01
201802176,000914,980100,,,001,2018,,,01,,石化1801,201809,1,1,03,01
201776042,000317,5890,,,001,2017,,,01,,动1702,201709,1,1,01,01
201728054,000353,7807,,,001,2017,,,01,,电计1703,201709,1,1,01,01
201709156,000329,8102,,,001,2017,,,01,,微电1701,201709,1,1,02,01
201872278,000914,980100,,,001,2018,,,01,,石化1802,201809,1,1,03,01
201756141,000317,5890,,,001,2017,,,01,,动1703,201709,1,1,01,01
201728065,000353,7801,,,001,2017,,,01,,电医1702,201709,1,1,01,01
201852034,000363,981002,,,001,2018,,,01,,应化国1801,201809,1,1,03,01
201716053,000316,5790,,,001,2017,,,01,,材1701,201709,1,1,01,01
201758068,000353,7801,,,001,2017,,,01,,电医1702,201709,1,1,01,01
201739081,000352,6191,,,007,2017,,,01,,土水类1705,,1,0,01,
201822178,000914,980100,,,001,2018,,,01,,石化1807,201809,1,1,03,01
201706151,000316,5790,,,001,2017,,,01,,材1705,201709,1,1,01,01
201709202,000362,9202,,,001,2017,,,01,,工力1701,201709,1,1,01,01
201739100,000362,9201,,,001,2017,,,01,,应物1701,201709,1,1,01,01
201870001,000328,8001,,,001,2018,,,01,,民族1801,201809,1,1,01,03
201852085,000911,980601,,,001,2018,,,01,,海技1801,201809,1,1,03,01
201716066,000316,5710,,,001,2017,,,01,,材日1701,201709,1,1,01,02
201870009,000328,8001,,,001,2018,,,01,,民族1801,201809,1,1,01,03
201842051,000363,981001,,,001,2018,,,01,,过控国1803,201809,1,1,03,01
201737010,000351,7901,,,001,2017,,,01,,运船1704,201709,1,1,01,01
201810111,000357,6308,,,001,2018,,,01,,人哲1801,201809,1,1,01,01
201892089,000911,980601,,,001,2018,,,01,,海技1803,201809,1,1,03,01
201797016,000351,7901,,,001,2017,,,01,,运船1702,201709,1,1,01,01
201830027,000357,6302,,,001,2018,,,01,,人管1801,201809,1,1,01,01
201822013,000312,530503,,,001,2018,,,01,,物应1801,201809,1,1,01,01
201519277,000310,6403,08,,006,2015,,,07,,双外英1501,,0,0,01,03
201549177,000356,9111,08,,006,2015,,,07,,双管信1502,,0,0,01,03
201539370,000310,6403,08,,006,2015,,,07,,双外英1504,,0,0,01,03
201509173,000356,9112,08,,006,2015,,,07,,双管金1501,,0,0,01,03
201429271,000356,9111,,,006,2014,,,07,,管信双1402,,0,0,01,03
201439478,000310,6403,,,006,2014,,,07,,外英双1401,,0,0,01,03
201459083,000316,5711,,,007,2014,,,07,,材1402,,0,0,01,01
201589270,000310,6403,08,,006,2015,,,07,,双外英1502,,0,0,01,03
201479474,000310,6403,,,006,2014,,,07,,外英双1402,,0,0,01,03
201439579,000310,6403,,,006,2014,,,07,,外英双1404,,0,0,01,03
201556018,000305,5620,08,,001,2015,,,01,,机测1501,201509,1,1,01,01
201514078,000301,5028,08,,001,2015,,,01,,化药1501,201509,1,1,01,01
201524084,000301,5028,08,,001,2015,,,01,,化药1501,201509,1,1,01,01
201505018,000352,6110,08,,001,2015,,,01,,土木1502,201509,1,1,01,01
201515022,000352,6101,08,,001,2015,,,01,,土水1501,201509,1,1,01,01
201585021,000352,6101,08,,001,2015,,,01,,土水1502,201509,1,1,01,01
201535129,000352,6101,08,,001,2015,,,01,,土水1502,201509,1,1,01,01
201515044,000352,6131,08,,001,2015,,,01,,土交1502,201509,1,1,01,01
201525056,000352,6102,08,,001,2015,,,01,,土环1502,201509,1,1,01,01
201505177,000307,6201,08,,001,2015,,,01,,建1501,201509,1,1,01,02
201505274,000307,6209,08,,001,2015,,,01,,建规1501,201509,1,1,01,02
201535183,000307,6211,08,,001,2015,,,01,,建环1501,201509,1,1,01,01
201506013,000305,5610,08,,001,2015,,,01,,机制1505,201509,1,1,01,01
